cell_id,animal_id,animal_diet,v_rest_mV,input_R_MOhm,membrane_tau_ms,tau_r2,sag_ratio,sag_amplitude_mV,sag_tau_ms,rheobase_pA,max_firing_rate_hz,max_inst_firing_rate_hz,fi_slope_hz_per_pA,fi_slope_r2,ap_threshold_mV,ap_peak_mV,ap_height_mV,ap_half_width_ms,ahp_depth_mV,ap_upstroke_mV_per_ms,ap_downstroke_mV_per_ms,rheobase_ramp_pA
20260528_cell3_TH,m260528,chow,-53.87287902832031,578.3828735351562,58.90635184133562,0.9855116736191187,0.007544384119621158,0.0219879150390625,0.10000000000996474,40.0,4.0,13.774104683195594,0.012538699690402473,0.7523219814241486,-29.55072135925293,-3.118246078491211,26.4404296875,3.902587890625,7.703857421875,17.498779296875,-14.361572265625,149.58495849584955
20260528_cell4_TH,m260528,chow,-68.32965850830078,2477.716064453125,139.8952088633529,0.9973424902654432,0.0,-0.13074493408203125,92.22422000871245,10.0,7.0,84.0336134453782,0.030000000000000006,0.742135922330097,-35.17597122192383,23.533392715454102,58.78662109375,1.6276196289062501,11.068115234375,87.261962890625,-42.56591644287109,66.53665366536653
20260528_cell6_TH,m260528,chow,-51.24734115600586,433.5700988769531,45.565347939226584,0.9889363297663752,0.41320877246377835,1.7815971374511719,656.0436373198555,30.0,4.5,33.444816053511694,0.10000000000000003,0.9523809523809524,-35.19494476318359,14.30983238220215,49.49462890625,1.7884130859374998,14.058837890625,47.07641677856445,-35.15625,121.76217621762176
20260528_cell7_TH,m260528,chow,-38.89540100097656,921.8276977539062,114.2931407954988,0.8940813724766259,0.0,-0.22185516357421875,1.1322954872757844,50.0,2.5,49.75124378109451,0.014999999999999982,0.4499999999999996,-33.033216857910155,5.26205530166626,38.28125,1.949921875,10.35400390625,39.55688705444336,-23.64501953125,109.7109710971097
20260528_cell8_TH,m260528,chow,-54.01551818847656,1344.0559387207031,229.67155525582825,0.9957193599172642,0.0,-0.2309417724609375,,30.0,4.5,11.709601873536295,0.030769230769230764,0.9696969696969697,-26.213644790649415,26.501010131835937,52.70751953125,2.161181640625,21.539306640625,58.203125,-31.732177734375,269.5069506950695
20260529_cell1_TH,m260529,chow,-75.8114013671875,1029.7264099121094,104.81290039284302,0.9886350989065384,0.0,-0.05157470703125,0.12071141273320102,30.0,10.5,47.61904761904758,0.19000000000000003,0.9809782608695652,-24.372398376464844,13.922013854980468,38.311767578125,1.5390625,12.1435546875,61.48681793212891,-29.107666015625,271.38713871387137
20260529_cell2_TH,m260529,chow,-72.2728500366211,1212.8738403320312,98.70144117849644,0.9965662398718221,0.0,-0.0430450439453125,939.438649661237,20.0,11.0,33.11258278145689,0.3,0.923076923076923,-33.34599838256836,19.221115493774413,52.42919921875,2.1992919921875003,16.412353515625,46.044918823242185,-28.033447265625,189.6089608960896
20260529_cell3_TH,m260529,chow,-57.730289459228516,3319.8448181152344,173.23855887842458,0.9995110483514522,0.0,-0.347015380859375,,10.0,11.5,26.315789473684188,0.2549999999999999,0.9796610169491525,-26.442892837524415,18.96231803894043,45.3759765625,2.0533203125000004,11.80419921875,54.77294921875,-23.974609375,206.99069906990698
20260529_cell4_TH,m260529,chow,-57.45496368408203,2208.7692260742188,86.08820103386262,0.9993243135077453,0.005261634084330564,0.05837249755859375,286.8963970876534,20.0,3.0,14.044943820224688,0.09999999999999991,1.0,,,,,,,,
20260601_cell1_TH,m260601,chow,-55.79685974121094,866.8952941894531,111.27873084063131,0.9923135888612102,0.0,-0.0086517333984375,11.359227669675267,10.0,4.0,12.004801920768301,0.03242424242424242,0.9610509527407034,-35.32454223632813,15.22316951751709,50.5810546875,2.0768847656250005,17.1923828125,50.28686447143555,-31.14013671875,191.8991899189919
20260601_cell2_TH,m260601,chow,-67.13226318359375,1549.0943908691406,258.81242045982316,0.9950213370783075,0.0,-0.32265472412109375,969.2921380289365,60.0,4.0,13.986013986013964,0.02664835164835165,0.9740165631469979,-28.65300636291504,33.083126831054685,61.76025390625,2.03119140625,20.80078125,80.6884780883789,-34.00879058837891,407.77077707770775
20260601_cell3_TH,m260601,chow,-53.72074890136719,1052.0088195800781,116.32041031881683,0.9971657522125642,0.0,-0.05850982666015625,1113.142320232706,10.0,5.0,30.487804878048834,0.06071428571428572,0.9633333333333334,-32.48331527709961,15.057738876342773,47.548828125,1.9340722656250002,17.82958984375,62.03613433837891,-29.144287109375,207.48074807480742
20260601_cell4_TH,m260601,chow,-65.40115356445312,1653.9825439453125,135.41082200174074,0.9956191960370506,0.0,-0.2090301513671875,,40.0,3.0,29.67359050445108,0.03428571428571431,0.8816326530612244,-36.945376586914065,27.676570892333984,64.638671875,2.0053662109375,18.531494140625,78.4484848022461,-32.06787109375,209.84098409840982
20260601_cell5_TH,m260601,chow,-69.70979309082031,2583.5128784179688,260.74107420101257,0.9991851247716103,0.0,-0.585601806640625,160.28289493883554,10.0,4.5,13.966480446927376,0.045833333333333344,0.9078242229367631,-36.97653261820475,12.90626573562622,49.925740559895836,1.8865763346354167,17.132568359375,61.9252503712972,-29.53084373474121,159.08257492415908
20260601_cell6_TH,m260601,chow,-66.7636489868164,1453.6552429199219,138.46245601763064,0.9985388237718569,0.0,-0.21404266357421875,9999.885413457929,20.0,3.5,15.822784810126587,0.07500000000000001,0.9642857142857142,-34.6344108581543,12.114388275146485,46.734619140625,1.83859375,14.176025390625,48.65112380981445,-30.62744140625,159.85598559855984
