cell_id,mouse_id,exclusion,notes,abf_folder,free_run_file,hyperpol_file,small_steps_file,ramp_file,sagIh_file,SK_VC_file,SK_VC_apamin_file,small_steps_apamin_file,ramp_apamin_file,hyperpol_apamin_file,sagIh_apamin_file
20260611_cell4_JMT,20260611_SNI_F1,,spikelets,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06112026,2026_06_11_0022.abf,2026_06_11_0023.abf,2026_06_11_0024.abf,2026_06_11_0025.abf,2026_06_11_0026.abf,"[2026_06_11_0027.abf, 2026_06_11_0028.abf] ","[2026_06_11_0035.abf, 2026_06_11_0036.abf] ",,,,
20260611_cell5_JMT,20260611_SNI_F1,"lateral, sag",,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06112026,2026_06_11_0037.abf,2026_06_11_0038.abf,2026_06_11_0040.abf,2026_06_11_0041.abf,2026_06_11_0042.abf,,,,,,
20260612_cell1_JMT,20260612_SNI_F1,poor quality,,,,,,,,,,,,,
20260612_cell3_JMT,20260612_SNI_F1,,signs of high access,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06122026,2026_06_12_0004.abf,2026_06_12_0005.abf,2026_06_12_0007.abf,,2026_06_12_0009.abf,,,,,,
20260612_cell4_JMT,20260612_SNI_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\06122026,2026_06_12_0020.abf,2026_06_12_0021.abf,2026_06_12_0022.abf,2026_06_12_0023.abf,2026_06_12_0024.abf,"[2026_06_12_0025.abf, 2026_06_12_0026.abf] ","[2026_06_12_0033.abf, 2026_06_12_0034.abf] ",2026_06_12_0031.abf,2026_06_12_0032.abf,2026_06_12_0030.abf,
20260616_cell1_JMT,20260616_SNI_F1,,small steps in apamin large noise,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0616026,2026_06_16_0000.abf,2026_06_16_0001.abf,2026_06_16_0002.abf,2026_06_16_0003.abf,2026_06_16_0004.abf,"[2026_06_16_0005.abf, 2026_06_16_0006.abf] ","[2026_06_16_0013.abf, 2026_06_16_0014.abf] ",,2026_06_16_0012.abf,2026_06_16_0010.abf,
20260616_cell2_JMT,20260616_SNI_F1,,signs of high access,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0616026,2026_06_16_0015.abf,2026_06_16_0016.abf,2026_06_16_0020.abf,2026_06_16_0019.abf,2026_06_16_0021.abf,,,,,,
20260617_cell1_JMT,20260617_SNI_F1,,"low Ri, sag file",C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0617026,2026_06_17_0000.abf,2026_06_17_0001.abf,2026_06_17_0002.abf,2026_06_17_0004.abf,2026_06_17_0005.abf,,,,,,
20260617_cell2_JMT,20260617_SNI_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0617026,2026_06_17_0010.abf,2026_06_17_0011.abf,2026_06_17_0012.abf,2026_06_17_0013.abf,2026_06_17_0014.abf,"[2026_06_17_0015.abf, 2026_06_17_0016.abf] ","[2026_06_17_0018.abf, 2026_06_17_0019.abf] ",,,2026_06_17_0020.abf,
20260717_cell1_JMT,20260717_naive_F2,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0717026,2026_07_17_0000.abf,2026_07_17_0001.abf,2026_07_17_0002.abf,2026_07_17_0003.abf,2026_07_17_0004.abf,,,,,,
